name;use;origin;substitutes;aromas;alt_names;alt_names_extra
Hüller Bitter;dual-purpose;GER;;Fruity,Mild,Resin,Spicy;;Hüll Bitter,Hüller Bitterer
Hybrid-2;aroma;;;;;
Idaho 7;dual-purpose;USA;Amarillo,Azacca,Cashmere,Chinook,Citra,Columbus,El Dorado,Idaho Gem;Apricot,Black Tea,Citrus,Currant,Earthy,Floral,Grapefruit,Orange,Papaya,Pine,Resin,Tropical Fruits;;Idaho hop 7,007
Idaho Gem;aroma;USA;;;;Idaho Gme
Independence;aroma;USA;;Citrus,Earthy,Floral,Herbal,Pine,Stonefruit,Tobacco;;independece
Iunga;dual-purpose;POL;Galena,Nugget,Target;Currant,Earthy,Fruity,Peach,Pineapple,Grapefruit,Spicy;;Junga
Ivanhoe;aroma;;;;;
Janus;aroma;;;;;
Jarrylo;dual-purpose;USA;;;;Jarryllo,jaryllo,jarylo
Jester;aroma;GBR;;Banana,Pear,Spice;;
Julius;aroma;USA;;Orange,Peach,Sweet;Mighty Axe Julius;Julious,Mighty Axe Julious
Junga;dual-purpose;PL;;;;junga (pl)
Kazbek;aroma;CZH;;;;
Keyworth's Early;aroma;;;;;
Keyworth's Midseason;aroma;;;;;
Kirin II;dual-purpose;;;;;Kirin,Kirin 2
Kitamidori;bittering;;;;;
Kohatu;aroma;NZL;Motueka,Wai-iti;Tropical Fruits;;Kuhatu
Korsta;dual-purpose;;;;;
Landhopfen;aroma;;;;;
Legacy;dual-purpose;USA;Cluster,Galena,Northern Brewer;Blackberry,Currant,Floral,Grapefruit,Grassy,Orange,Spicy;;
Lemondrop;aroma;USA;Cascade,Centennial,Liberty,Mandarina Bavaria,Motueka;Citrus,Floral,Green Tea,Lemon,Melon,Mint;;Lemon Drop
Liberty;aroma;USA;Crystal,Hallertauer Mittelfrüh,Mount Hood;Citrus,Floral,Herbal,Lemon,Noble,Spicy;;liberty (us)
Loral;dual-purpose;USA;Glacier,Nugget,Strisselspalt,Tardif de Bourgogne;Citrus,Floral,Fruity,Pepper;HBC 291;Loral Nobel,Loral Noble
Lotus;aroma;USA;;Berry,Cream,Orange,Tropical Fruits,Vanilla;;
Lubelska;aroma;POL;Saaz,Sterling,Tettnanger;Floral,Lavender,Magnolia,Spicy;Lublin;Lubelski,Luboloski,Lubliner
Lubelska-Pulawy;aroma;;;;;
Lucan;aroma;;;;;
Lumberjack;;CAN;;;;
Lunga;dual-purpose;;;;;
Mackinac;aroma;USA;;Citrus,Floral,Melon,Papaya,Pepper,Spicy,Tropical Fruits;;Mackinaw
McKenzie;dual-purpose;USA;;;;mackenzie
Magnat;dual-purpose;;Lubelska,Magnum;Chamomile,Citrus,Floral,Lemon,Lilac,Woody;;
