name;alt_names;alt_names_extra;lab;alt_lab;brand;alt_brand;product_id;alt_product_id;type;form;tolerance;tolerance_percent;flocculation;attenuation;min_temperature;max_temperature
Staro Prague Lager;;;Wyeast;;;;2782;;lager;liquid;;11;high;72;10;14
Sweet Mead;;;Wyeast;;;;4184;;wine-cider;liquid;;11;medium;75;18;24
Thames Valley Ale;;;Wyeast;;;;1275;;ale;liquid;;10;medium-low;77;17;22
Thames Valley Ale II;Thames Valley II;;Wyeast;;;;1882;;ale;liquid;;10;high;75;16;21
Trappist Blend;Trappist Style Blend,3789;;Wyeast;;;;3789;;ale;liquid;;12;medium;77;20;29
Trappist High Gravity;;;Wyeast;;;;3787;;ale;liquid;;12;medium-high;76;18;26
Urquell Lager;;;Wyeast;;;;2001;;lager;liquid;;9;medium-high;74;9;14
Weihenstephan Weizen;;;Wyeast;;;;3068;;ale;liquid;;10;low;75;18;24
West Yorkshire;Yorkshire Ale Yeast;;Wyeast;;;;1469;;ale;liquid;;9;high;69;18;22
Whitbread Ale;;;Wyeast;;;;1099;;ale;liquid;;10;high;70;18;24
Burton IPA Blend;Burton IPA;;Wyeast;;;;1203-PC;1203,1203PC,1203 PC;ale;liquid;;10;high;72.5;18;23
Old Ale Blend;pc-old;;Wyeast;;;;9097-PC;9097,9097PC,9097 PC,#9097;ale-brett;liquid;;13;high;77.5;20;24
Coopers Ale;Cooper Pure,Cooper's Ale;Coopers;Coopers;;;;;;ale;dry;medium;;high;75;20;24
Premium Gold;Munton,Muntons,Munton's;;Muntons;;;;;;ale;dry;;;medium;75;14;25
WildBrew Philly Sour;Philly,Philly Sour;;Lallemand;;WildBrew;;;;ale;dry;medium;;high;85;20;25
WildBrew Helveticus Pitch;Helveticus,Lactobacillus Helveticus,L Helveticus,L. Helveticus,Lacto Helveticus,Lactobacillus H;;Lallemand;;WildBrew;;;;bacteria;dry;low;;low;;38;45
Wildbrew Sour Pitch;Sour pitch,Plantarum,Lactobacillus Plantarum,L Plantarum,L. Plantarum,Lacto Plantarum,Lactobacillus P,Lacto. P,Lacto P.;;Lallemand;;WildBrew;;;;bacteria;dry;low;;low;;30;40
Classic 8 Turbo Yeast;Turbo,Turbo Yeast;;Still Spirits;StillSpirits;;;;;ale;dry;;20;high;100;18;24
Pure Turbo Yeast;Triple Distilled Turbo,Triple Distilled;;Still Spirits;StillSpirits;;;;;ale;dry;;20;high;100;18;24
Alcotec Turbo Yeast Pure 48;Turbo Yeast Pure 48,Pure 48;;Alcotec;;;;;;ale;dry;;20;high;100;18;24
Hybrid Ale Yeast "Notty";Gozdawa Notty;;Gozdawa;;;;;;ale;dry;;;;;11;22
Original British Ale Yeast 04 "Withbread";Gozdawa Withbread;;Gozdawa;;;;;;ale;dry;;;;;15;22
U.S. West Coast "Chico";Gozdawa Chico;;Gozdawa;;;;;;ale;dry;;;;;14;22
Classic Belgian Witbier;Gozdawa CBW;;Gozdawa;;;;;;ale;dry;;;;;20;24
Pure Ale Yeast 7;Gozdawa Pure Ale;;Gozdawa;;;;;;ale;dry;;;;;16;32
Old German Altbier 9;Gozdawa OGA;;Gozdawa;;;;;;ale-lager;dry;;;;;15;20
Porter & Kvass;;;Gozdawa;;;;;;ale;dry;;;;;22;26
FM52 American Dream;American Dream,FM52 Amerykański Sen,Amerykański Sen;;Fermentum Mobile;;;;;;ale;dry;;;medium;75.5;16;22
FM30 Bohemian Melody;Bohemian Melody,FM30 Bohemska Rapsodia,Bohemska Rapsodia;;Fermentum Mobile;;;;;;ale;dry;;;high;75.5;8;12
